"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","","","210","","CreateCourrierPostTest","","CreateCourrierPostTest","","tryCreateCourrierWithoutFirstname",""
"passed","","","352","","CourrierLoginPostTest","","CourrierLoginPostTest","","emptyPasswordAuthTest",""
"passed","","","102","","MakeOrderPostTest","","MakeOrderPostTest","","orderColorTest[0]",""
"passed","","","172","","CreateCourrierPostTest","","CreateCourrierPostTest","","usualCourrierCreate",""
"passed","","","5301","","CourrierLoginPostTest","","CourrierLoginPostTest","","baseLoginTest",""
"passed","","","19011","","OrderListGetTest","","OrderListGetTest","","getOrderlistAll",""
"passed","","","221","","DeleteCourrierTest","","DeleteCourrierTest","","deleteNotExistingCourrier",""
"passed","","","216","","CreateCourrierPostTest","","CreateCourrierPostTest","","createSameCourrier",""
"passed","","","105","","MakeOrderPostTest","","MakeOrderPostTest","","orderColorTest[1]",""
"passed","","","355","","CourrierLoginPostTest","","CourrierLoginPostTest","","emptyLoginAuthTest",""
"passed","","","123","","MakeOrderPostTest","","MakeOrderPostTest","","orderColorTest[2]",""
"passed","","","314","","CourrierLoginPostTest","","CourrierLoginPostTest","","noLoginAuthTest",""
"passed","","","136","","MakeOrderPostTest","","MakeOrderPostTest","","orderColorTest[3]",""
"passed","","","288","","CourrierLoginPostTest","","CourrierLoginPostTest","","incorrectDataLoginTest",""
"passed","","","189","","CreateCourrierPostTest","","CreateCourrierPostTest","","tryCreateCourrierWithoutNameField",""
"passed","","","247","","CreateCourrierPostTest","","CreateCourrierPostTest","","checkResponse",""
"passed","","","154","","DeleteCourrierTest","","DeleteCourrierTest","","deleteCourrierWithoutID",""
"passed","","","209","","DeleteCourrierTest","","DeleteCourrierTest","","deleteCourrier",""
"failed","","","60493","","CourrierLoginPostTest","","CourrierLoginPostTest","","noPasswordAuthTest",""
"passed","","","233","","CreateCourrierPostTest","","CreateCourrierPostTest","","checkErrorResponseSameLogin",""
"passed","","","204","","CreateCourrierPostTest","","CreateCourrierPostTest","","tryCreateCourrierWithoutPassword",""
"passed","","","261","","CreateCourrierPostTest","","CreateCourrierPostTest","","tryCreateCourrierWithoutName",""
